avg_deg_setting	dist_name	r_concentration	n_seed	p0	p1	p2	p3	p4plus	active_r_ratio	mean_dk_active	max_dk	direct_K	tia_K	look1_K	look2_K	direct_T	tia_T	look1_T	look2_T
4	p0_20_p1_40_p2_40	randtop02	3	0.19899	0.40051	0.40051	0.00000	0.00000	0.02030	11.52206	12.00000	159.0000	15.6667	15.6667	15.6667	0.02000	0.18000	0.18000	0.18000
4	p1_33_p2_34_p3_33	spread	3	0.00171	0.33162	0.33979	0.32688	0.00000	0.38822	1.00000	1.00000	159.0000	158.0000	158.0000	158.0000	0.02000	0.02167	0.02167	0.02167
4	p1_33_p2_34_p3_33	random	3	0.00171	0.33162	0.33979	0.32688	0.00000	0.32020	1.20301	3.33333	159.0000	157.6667	157.6667	157.6667	0.02000	0.02233	0.02233	0.02233
4	p1_33_p2_34_p3_33	low20	3	0.00171	0.33162	0.33979	0.32688	0.00000	0.19387	1.99344	3.33333	159.0000	157.0000	156.6667	156.6667	0.02000	0.02367	0.02467	0.02467
4	p1_33_p2_34_p3_33	top20	3	0.00171	0.33162	0.33979	0.32688	0.00000	0.19387	1.99344	3.33333	159.0000	158.6667	158.0000	158.0000	0.02000	0.02033	0.02267	0.02267
4	p1_33_p2_34_p3_33	randtop20	3	0.00171	0.33162	0.33979	0.32688	0.00000	0.19387	1.99344	3.33333	159.0000	158.0000	157.6667	157.6667	0.02000	0.02167	0.02267	0.02267
4	p1_33_p2_34_p3_33	low05	3	0.00171	0.33162	0.33979	0.32688	0.00000	0.04994	7.77656	9.00000	159.0000	131.6667	131.6667	131.6667	0.02000	0.05867	0.05867	0.05867
4	p1_33_p2_34_p3_33	top05	3	0.00171	0.33162	0.33979	0.32688	0.00000	0.04994	7.77656	9.00000	159.0000	41.0000	41.0000	41.0000	0.02000	0.17900	0.17900	0.17900
4	p1_33_p2_34_p3_33	randtop05	3	0.00171	0.33162	0.33979	0.32688	0.00000	0.04994	7.77656	9.00000	159.0000	57.6667	57.6667	57.6667	0.02000	0.15833	0.15833	0.15833
4	p1_33_p2_34_p3_33	low02	3	0.00171	0.33162	0.33979	0.32688	0.00000	0.02030	19.10294	20.00000	159.0000	82.0000	82.0000	82.0000	0.02000	0.10833	0.10833	0.10833
4	p1_33_p2_34_p3_33	top02	3	0.00171	0.33162	0.33979	0.32688	0.00000	0.02030	19.10294	20.00000	159.0000	16.6667	16.6667	16.6667	0.02000	0.17900	0.17900	0.17900
4	p1_33_p2_34_p3_33	randtop02	3	0.00171	0.33162	0.33979	0.32688	0.00000	0.02030	19.10294	20.00000	159.0000	15.6667	15.6667	15.6667	0.02000	0.18000	0.18000	0.18000
4	p2_50_p3_50	spread	3	0.00000	0.00000	0.50085	0.49915	0.00000	0.48711	1.00000	1.00000	159.0000	159.0000	159.0000	159.0000	0.02000	0.02000	0.02000	0.02000
4	p2_50_p3_50	random	3	0.00000	0.00000	0.50085	0.49915	0.00000	0.38625	1.25111	3.66667	159.0000	159.0000	158.6667	158.6667	0.02000	0.02000	0.02133	0.02133
4	p2_50_p3_50	low20	3	0.00000	0.00000	0.50085	0.49915	0.00000	0.19387	2.50127	3.33333	159.0000	159.0000	157.3333	157.3333	0.02000	0.02000	0.02500	0.02500
4	p2_50_p3_50	top20	3	0.00000	0.00000	0.50085	0.49915	0.00000	0.19387	2.50127	3.33333	159.0000	159.0000	159.0000	158.6667	0.02000	0.02000	0.02000	0.02200
4	p2_50_p3_50	randtop20	3	0.00000	0.00000	0.50085	0.49915	0.00000	0.19387	2.50127	3.33333	159.0000	159.0000	158.6667	158.6667	0.02000	0.02000	0.02133	0.02133
4	p2_50_p3_50	low05	3	0.00000	0.00000	0.50085	0.49915	0.00000	0.04994	9.75763	10.66667	159.0000	159.0000	133.6667	133.6667	0.02000	0.02000	0.05667	0.05667
4	p2_50_p3_50	top05	3	0.00000	0.00000	0.50085	0.49915	0.00000	0.04994	9.75763	10.66667	159.0000	159.0000	41.0000	41.0000	0.02000	0.02000	0.17900	0.17900
4	p2_50_p3_50	randtop05	3	0.00000	0.00000	0.50085	0.49915	0.00000	0.04994	9.75763	10.66667	159.0000	159.0000	58.3333	58.3333	0.02000	0.02000	0.15767	0.15767
4	p2_50_p3_50	low02	3	0.00000	0.00000	0.50085	0.49915	0.00000	0.02030	23.96936	25.33333	159.0000	159.0000	86.6667	86.6667	0.02000	0.02000	0.10367	0.10367
4	p2_50_p3_50	top02	3	0.00000	0.00000	0.50085	0.49915	0.00000	0.02030	23.96936	25.33333	159.0000	159.0000	16.6667	16.6667	0.02000	0.02000	0.17900	0.17900
4	p2_50_p3_50	randtop02	3	0.00000	0.00000	0.50085	0.49915	0.00000	0.02030	23.96936	25.33333	159.0000	159.0000	15.6667	15.6667	0.02000	0.02000	0.18000	0.18000
