family	dist_name	r_concentration	n	direct_K	tia_K	look1_K	look2_K	tia_gain	look1_extra	look2_extra	mean_dk_active	max_dk	look2_T_ratio
ws	p3_100	low05	6	37.50	34.33	34.33	33.17	3.17	0.00	1.17	2.29	3.33	0.03
ws	p3_100	randtop20	6	37.50	34.33	34.33	34.33	3.17	0.00	0.00	1.21	1.50	0.02
ws	p3_100	randtop05	6	37.50	34.33	34.33	33.33	3.17	0.00	1.00	2.29	3.33	0.03
ws	p4_100	spread	6	37.50	32.50	32.50	32.50	5.00	0.00	0.00	1.00	1.00	0.03
ws	p4_100	random	6	37.50	32.50	32.50	32.50	5.00	0.00	0.00	1.06	2.33	0.03
ws	p4_100	top20	6	37.50	32.50	32.50	32.50	5.00	0.00	0.00	1.40	1.50	0.03
ws	p4_100	top05	6	37.50	32.50	32.50	32.50	5.00	0.00	0.00	2.95	4.33	0.03
ws	p4_100	low20	6	37.50	32.50	32.50	32.50	5.00	0.00	0.00	1.40	1.50	0.03
ws	p4_100	low05	6	37.50	32.50	32.50	32.50	5.00	0.00	0.00	2.95	4.33	0.03
ws	p4_100	randtop20	6	37.50	32.50	32.50	32.50	5.00	0.00	0.00	1.40	1.50	0.03
ws	p4_100	randtop05	6	37.50	32.50	32.50	32.50	5.00	0.00	0.00	2.95	4.33	0.03
ws	p0_50_p1_50	spread	6	37.50	18.67	18.67	18.67	18.83	0.00	0.00	1.00	1.00	0.04
ws	p0_50_p1_50	random	6	37.50	18.67	18.67	18.67	18.83	0.00	0.00	1.00	1.00	0.04
ws	p0_50_p1_50	top20	6	37.50	18.67	18.67	18.67	18.83	0.00	0.00	1.00	1.00	0.04
ws	p0_50_p1_50	top05	6	37.50	18.67	18.67	18.67	18.83	0.00	0.00	1.00	1.00	0.04
ws	p0_50_p1_50	low20	6	37.50	18.67	18.67	18.67	18.83	0.00	0.00	1.00	1.00	0.04
ws	p0_50_p1_50	low05	6	37.50	18.67	18.67	18.67	18.83	0.00	0.00	1.00	1.00	0.04
ws	p0_50_p1_50	randtop20	6	37.50	18.67	18.67	18.67	18.83	0.00	0.00	1.00	1.00	0.04
ws	p0_50_p1_50	randtop05	6	37.50	18.67	18.67	18.67	18.83	0.00	0.00	1.00	1.00	0.04
